Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,312952,-,-,-,33.45,-111.94,-7,378,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
2009,3,29,0,0,0,0,0,-10.702520751953102,13.079431152343773,948.7142944335938,18.05122947692871,5.695025444030762,19.012466430664062,0.5663089752197266
2009,3,29,0,30,0,0,0,-11.076208496093727,12.792291259765648,948.4049072265625,17.855022430419922,5.782004356384277,19.012466430664062,0.5948532223701477
2009,3,29,1,0,0,0,0,-11.460028076171852,12.505181884765648,948.095458984375,17.645681381225586,5.868983745574951,42.99649429321289,0.6233974695205688
2009,3,29,1,30,0,0,0,-11.230749511718727,12.222772216796898,947.7572021484375,18.3078670501709,5.902149677276611,42.99649429321289,0.6023508310317993
2009,3,29,2,0,0,0,0,-11.005255126953102,11.940393066406273,947.4188842773438,18.989259719848633,5.9353156089782715,64.49191284179688,0.5813041925430298
2009,3,29,2,30,0,0,0,-11.498114013671852,11.711816406250023,947.27880859375,18.534788131713867,5.971153736114502,64.49191284179688,0.5859375
2009,3,29,3,0,0,0,0,-12.008947753906227,11.483239746093773,947.138671875,18.06262969970703,6.006992340087891,98.2347640991211,0.5905707478523254
2009,3,29,3,30,0,0,0,-12.060064697265602,11.334832763671898,947.0532836914062,18.16617774963379,6.024835586547852,98.2347640991211,0.6711863279342651
2009,3,29,4,0,0,0,0,-12.111364746093727,11.186456298828148,946.9678955078125,18.270158767700195,6.0426788330078125,130.85125732421875,0.7518018484115601
2009,3,29,4,30,0,0,0,-11.918737792968727,11.054498291015648,947.0117797851562,18.717870712280273,6.105189800262451,130.85125732421875,0.8871142268180847
2009,3,29,5,0,0,0,0,-11.728704833984352,10.922509765625023,947.0556640625,19.172338485717773,6.16770076751709,149.3263397216797,1.0224266052246094
2009,3,29,5,30,0,0,0,-11.565863037109352,11.064294433593773,947.0379028320312,19.24176025390625,6.215664386749268,149.3263397216797,1.193847894668579
2009,3,29,6,0,0,0,0,-11.404974365234352,11.206079101562523,947.0201416015625,19.30833625793457,6.263628005981445,161.2598114013672,1.3652690649032593
2009,3,29,6,30,13,0,13,-10.920019531249977,12.643731689453148,947.218505859375,18.255001068115234,6.320113182067871,161.2598114013672,1.5532939434051514
2009,3,29,7,0,47,286,85,-10.453344726562477,14.081384277343773,947.4168701171875,17.249656677246094,6.376598834991455,170.9014129638672,1.741318941116333
2009,3,29,7,30,63,487,181,-11.100531005859352,15.687097167968773,947.5943603515625,14.776060104370117,6.386749267578125,170.9014129638672,1.7595576047897339
2009,3,29,8,0,137,223,214,-11.778906249999977,17.292840576171898,947.7718505859375,12.638076782226562,6.396900177001953,177.17318725585938,1.7777962684631348
2009,3,29,8,30,116,590,378,-12.127569580078102,19.250024414062523,947.7632446289062,10.869556427001953,6.389171123504639,177.17318725585938,2.0011520385742188
2009,3,29,9,0,97,850,551,-12.487127685546852,21.207177734375023,947.754638671875,9.356532096862793,6.381441593170166,200.89837646484375,2.2245078086853027
2009,3,29,9,30,116,794,606,-12.903356933593727,22.660791015625023,947.68505859375,8.279536247253418,6.36219596862793,200.89837646484375,2.4905588626861572
2009,3,29,10,0,110,919,744,-13.332922363281227,24.114404296875023,947.6154174804688,7.324738025665283,6.342950344085693,217.28106689453125,2.7566099166870117
2009,3,29,10,30,150,826,771,-13.671362304687477,25.069177246093773,947.2774658203125,6.730461120605469,6.324331760406494,217.28106689453125,2.9865798950195312
2009,3,29,11,0,338,430,683,-14.018103027343727,26.023980712890648,946.9395141601562,6.182185649871826,6.305712699890137,224.92913818359375,3.216549873352051
2009,3,29,11,30,428,190,588,-14.135382080078102,26.566979980468773,946.6154174804688,5.930002689361572,6.297181129455566,224.92913818359375,3.4483351707458496
2009,3,29,12,0,433,262,659,-14.253790283203102,27.109979248046898,946.2913208007812,5.688260555267334,6.288650035858154,229.2269744873047,3.6801202297210693
2009,3,29,12,30,301,639,856,-14.126531982421852,27.399011230468773,945.6761474609375,5.651198387145996,6.2872796058654785,229.2269744873047,3.8762588500976562
2009,3,29,13,0,425,304,687,-14.000891113281227,27.688043212890648,945.0609741210938,5.6137614250183105,6.285909175872803,230.80599975585938,4.072397708892822
2009,3,29,13,30,337,526,781,-13.723242187499977,27.749658203125023,944.5429077148438,5.721701145172119,6.285126209259033,230.80599975585938,4.237015247344971
2009,3,29,14,0,289,593,769,-13.451452636718727,27.811273193359398,944.0248413085938,5.828622341156006,6.284343719482422,229.68858337402344,4.401632785797119
2009,3,29,14,30,263,587,710,-13.144995117187477,27.546563720703148,943.566650390625,6.068572998046875,6.207329750061035,229.68858337402344,4.596946716308594
2009,3,29,15,0,308,366,565,-12.845220947265602,27.281823730468773,943.1085205078125,6.314767837524414,6.130315780639648,227.70848083496094,4.792260646820068
2009,3,29,15,30,242,451,527,-12.570043945312477,26.608666992187523,942.7626953125,6.71718692779541,6.067936897277832,227.70848083496094,4.988882541656494
2009,3,29,16,0,216,422,448,-12.300268554687477,25.935479736328148,942.4169311523438,7.143169403076172,6.005557537078857,226.99710083007812,5.18550443649292
2009,3,29,16,30,90,809,462,-11.895849609374977,24.922479248046898,942.3322143554688,7.83689546585083,5.912333965301514,226.99710083007812,5.267765522003174
2009,3,29,17,0,80,737,347,-11.502783203124977,23.909478759765648,942.2474975585938,8.59316635131836,5.81911039352417,226.7784881591797,5.350026607513428
2009,3,29,17,30,66,630,230,-10.932165527343727,22.333428955078148,942.3485107421875,9.892212867736816,5.800233364105225,226.7784881591797,5.204665660858154
2009,3,29,18,0,47,458,117,-10.383764648437477,20.757409667968773,942.4495849609375,11.37803840637207,5.7813568115234375,225.2314453125,5.059304714202881
2009,3,29,18,30,19,159,26,-9.836370849609352,19.709252929687523,942.79248046875,12.67562198638916,5.824087619781494,225.2314453125,5.119809150695801
2009,3,29,19,0,0,0,0,-9.308416748046852,18.661065673828148,943.1354370117188,14.10412311553955,5.866818428039551,221.95176696777344,5.180313587188721
2009,3,29,19,30,0,0,0,-8.938604736328102,18.069696044921898,943.5306396484375,15.066763877868652,5.966655731201172,221.95176696777344,5.193219184875488
2009,3,29,20,0,0,0,0,-8.577551269531227,17.478295898437523,943.9258422851562,16.085369110107422,6.066493034362793,217.9268035888672,5.206124782562256
2009,3,29,20,30,0,0,0,-8.373785400390602,16.976129150390648,944.1866455078125,16.8698787689209,6.285079002380371,217.9268035888672,5.1557416915893555
2009,3,29,21,0,0,0,0,-8.172735595703102,16.473992919921898,944.4474487304688,17.690563201904297,6.503664493560791,215.74404907226562,5.105358123779297
2009,3,29,21,30,0,0,0,-7.954107666015602,15.956292724609398,944.5684814453125,18.59673500061035,6.754589080810547,215.74404907226562,4.969501495361328
2009,3,29,22,0,0,0,0,-7.738653564453102,15.438592529296898,944.689453125,19.546489715576172,7.0055131912231445,218.2543487548828,4.833644866943359
2009,3,29,22,30,0,0,0,-7.306951904296852,14.922448730468773,944.6026611328125,20.890474319458008,7.411650657653809,218.2543487548828,4.657549858093262
2009,3,29,23,0,0,0,0,-6.887457275390602,14.406274414062523,944.5158081054688,22.30622100830078,7.817788124084473,225.28564453125,4.481455326080322
2009,3,29,23,30,0,0,0,-6.011724853515602,13.988519287109398,944.3939208984375,24.506221771240234,8.35385799407959,225.28564453125,4.351814270019531
2009,3,30,0,0,0,0,0,-5.184515380859352,13.570764160156273,944.2720947265625,26.813570022583008,8.889927864074707,234.75575256347656,4.22217321395874
2009,3,30,0,30,0,0,0,-3.7894042968749773,13.166986083984398,944.2277221679688,30.57646369934082,9.442216873168945,234.75575256347656,4.056358814239502
2009,3,30,1,0,0,0,0,-2.5113891601562273,12.763177490234398,944.183349609375,34.52741241455078,9.994505882263184,243.21310424804688,3.8905444145202637
2009,3,30,1,30,0,0,0,-0.9037231445312273,12.371728515625023,944.25927734375,39.87150955200195,10.448746681213379,243.21310424804688,3.747913360595703
2009,3,30,2,0,0,0,0,0.5543151855468977,11.980279541015648,944.335205078125,45.48097229003906,10.902987480163574,252.06332397460938,3.6052825450897217
2009,3,30,2,30,0,0,0,1.5916992187500227,11.591271972656273,944.349609375,50.275875091552734,11.156950950622559,252.06332397460938,3.376540184020996
2009,3,30,3,0,0,0,0,2.5661560058593977,11.202264404296898,944.3639526367188,55.29811477661133,11.410914421081543,258.4334716796875,3.1477980613708496
2009,3,30,3,30,0,0,0,2.8031860351562727,10.879632568359398,944.5386962890625,57.452701568603516,11.526762008666992,258.4334716796875,2.8272829055786133
2009,3,30,4,0,0,0,0,3.0369201660156477,10.557031250000023,944.7135009765625,59.67850112915039,11.642609596252441,264.27593994140625,2.506767988204956
2009,3,30,4,30,0,0,0,2.9146667480468977,10.338739013671898,945.0536499023438,60.03172302246094,11.629253387451172,264.27593994140625,2.1202845573425293
2009,3,30,5,0,0,0,0,2.7913452148437727,10.120477294921898,945.393798828125,60.38320541381836,11.615896224975586,272.0960998535156,1.7338008880615234
2009,3,30,5,30,0,0,0,2.5402160644531477,10.279626464843773,945.6661987304688,58.68952178955078,11.34050464630127,272.0960998535156,1.4496428966522217
2009,3,30,6,0,0,0,0,2.2849670410156477,10.438775634765648,945.9385986328125,57.02544021606445,11.065113067626953,304.3574523925781,1.1654850244522095
2009,3,30,6,30,14,99,17,1.8736206054687727,12.219720458984398,946.5020141601562,49.218265533447266,10.463716506958008,304.3574523925781,1.2338227033615112
