Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,312952,-,-,-,33.45,-111.94,-7,378,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
2005,2,3,6,0,0,0,0,-3.9488586425781023,5.883599853515648,960.2635498046875,49.278446197509766,7.88312292098999,74.32833099365234,5.5131402015686035
2005,2,3,6,30,0,0,0,-3.8727172851562273,6.191247558593773,960.364501953125,48.51860046386719,7.981352806091309,74.32833099365234,5.491274833679199
2005,2,3,7,0,0,0,0,-3.7970336914062273,6.498895263671898,960.4653930664062,47.77126693725586,8.079582214355469,76.35340118408203,5.469409942626953
2005,2,3,7,30,0,0,0,-3.5359252929687273,7.789697265625023,960.6162109375,44.59428405761719,8.178138732910156,76.35340118408203,5.238349437713623
2005,2,3,8,0,32,485,87,-3.2803710937499773,9.080499267578148,960.7670288085938,41.647281646728516,8.276694297790527,78.37821960449219,5.007288932800293
2005,2,3,8,30,47,666,186,-3.2287963867187273,10.767083740234398,960.918701171875,37.344120025634766,8.414205551147461,78.37821960449219,4.836984634399414
2005,2,3,9,0,56,772,288,-3.1792358398437273,12.453637695312523,961.0703735351562,33.530555725097656,8.551715850830078,83.64704895019531,4.666679859161377
2005,2,3,9,30,64,840,384,-3.3983520507812273,13.835351562500023,961.1640625,30.142784118652344,8.716827392578125,83.64704895019531,4.761684417724609
2005,2,3,10,0,69,886,473,-3.6215881347656023,15.217034912109398,961.2576904296875,27.114343643188477,8.881939888000488,92.2230224609375,4.856688499450684
2005,2,3,10,30,74,919,549,-3.5719970703124773,16.183282470703148,960.9708251953125,25.583356857299805,9.061198234558105,92.2230224609375,4.842434883117676
2005,2,3,11,0,77,941,612,-3.5235046386718523,17.149499511718773,960.6839599609375,24.14792251586914,9.240457534790039,97.98090362548828,4.828181266784668
